qed_sa_scale_cord,qed_sa_scale_categ,mol_stable,atm_stable,recon_success,eval_success,complete,JSD_6-6|1,JSD_6-6|2,JSD_6-6|4,JSD_6-7|1,JSD_6-7|2,JSD_6-7|4,JSD_6-8|1,JSD_6-8|2,JSD_All_12A,JSD_CC_2A,atom_type_js,n_recon,n_complete,n_eval,QED_mean,QED_med,SA_mean,SA_med,Vina_score_mean,Vina_score_med,Vina_min_mean,Vina_min_med
0.0,0.0,0.2400,0.8944,1.0000,0.9500,0.9600,0.4473,0.3130,0.3327,0.3447,0.4285,0.4095,0.4149,0.4215,0.0718,0.3106,0.0786,100,96,95,0.5283,0.5489,0.5709,0.5600,-6.7226,-6.6400,-7.2875,-7.1350
0.0,-0.1,0.2300,0.8902,1.0000,0.9600,0.9600,0.4530,0.3177,0.3312,0.3448,0.4455,0.3695,0.4231,0.4162,0.0734,0.3148,0.0769,100,96,96,0.5191,0.5360,0.5716,0.5650,-6.6732,-6.6535,-7.2523,-7.2385
0.0,-1.0,0.2200,0.8849,1.0000,0.9400,0.9400,0.4342,0.3005,0.3209,0.3540,0.4828,0.4116,0.4608,0.4380,0.0728,0.3039,0.0785,100,94,94,0.5000,0.5213,0.5867,0.5800,-6.5322,-6.4230,-7.0759,-6.8810
0.0,-5.0,0.1900,0.8960,1.0000,0.9600,0.9600,0.4533,0.3687,0.3017,0.3809,0.4184,0.3242,0.4397,0.4190,0.0717,0.3145,0.0838,100,96,96,0.5194,0.5672,0.5868,0.5800,-6.6579,-6.5600,-7.1362,-7.1175
0.0,-10.0,0.1700,0.8796,1.0000,0.9400,0.9400,0.4587,0.3282,0.3564,0.3376,0.4403,0.4077,0.4626,0.4019,0.0770,0.3229,0.0883,100,94,94,0.5242,0.5630,0.5697,0.5700,-6.9291,-6.7175,-7.4131,-7.3145
0.0,-20.0,0.1700,0.8971,0.9900,0.9300,0.9300,0.4508,0.2701,0.2860,0.3570,0.4249,0.3925,0.4664,0.4113,0.0738,0.2905,0.0884,99,93,93,0.5002,0.5108,0.5711,0.5700,-6.7471,-6.5700,-7.2785,-7.1870
0.0,-50.0,0.1800,0.8853,0.9800,0.9300,0.9300,0.4576,0.3285,0.2845,0.3509,0.5340,0.4248,0.4691,0.4554,0.0725,0.3033,0.0894,98,93,93,0.5563,0.5723,0.5929,0.5900,-6.8037,-6.6510,-7.3410,-7.1680
0.0,-100.0,0.1400,0.8918,0.9900,0.9300,0.9400,0.4501,0.2998,0.3402,0.3373,0.5246,0.3692,0.4644,0.3853,0.0767,0.3047,0.0819,99,94,93,0.4883,0.5253,0.5800,0.5700,-6.7240,-6.5090,-7.1481,-6.9480
0.0,-200.0,0.2700,0.8857,1.0000,0.9800,0.9800,0.4454,0.3282,0.3374,0.3477,0.4847,0.5191,0.5360,0.3821,0.0715,0.3054,0.0956,100,98,98,0.5292,0.5051,0.5914,0.5800,-6.6912,-6.3185,-7.3121,-7.0810
0.1,0.0,0.2100,0.8895,1.0000,0.9300,0.9300,0.4450,0.2882,0.3224,0.3485,0.4754,0.3675,0.4249,0.4178,0.0743,0.3099,0.0767,100,93,93,0.5178,0.5475,0.5818,0.5700,-6.6084,-6.6460,-7.1106,-7.1170
0.1,-0.1,0.2000,0.8845,1.0000,0.9200,0.9200,0.4491,0.3087,0.3303,0.3565,0.5079,0.3742,0.4310,0.4292,0.0780,0.3101,0.0755,100,92,92,0.5121,0.5421,0.5775,0.5700,-6.6213,-6.6425,-7.1058,-7.0780
0.1,-1.0,0.2300,0.8891,1.0000,0.9500,0.9500,0.4494,0.3303,0.3103,0.3582,0.4989,0.3893,0.4475,0.4351,0.0751,0.3122,0.0699,100,95,95,0.5045,0.5290,0.5819,0.5700,-6.4640,-6.4750,-6.9883,-6.9600
0.1,-5.0,0.2100,0.8971,1.0000,0.9700,0.9800,0.4541,0.3468,0.3095,0.3418,0.4554,0.3890,0.4478,0.4104,0.0747,0.3110,0.0818,100,98,97,0.5279,0.5577,0.5871,0.5900,-6.6450,-6.5490,-7.1765,-7.1990
0.1,-10.0,0.1800,0.8796,1.0000,0.9500,0.9500,0.4517,0.3319,0.3109,0.3463,0.4252,0.4536,0.4375,0.4133,0.0783,0.3093,0.0816,100,95,95,0.5007,0.5267,0.5717,0.5700,-6.8392,-6.7130,-7.3417,-7.2600
0.1,-20.0,0.2100,0.8948,1.0000,0.9600,0.9600,0.4440,0.2720,0.2917,0.3287,0.4919,0.3542,0.4447,0.3973,0.0712,0.2864,0.0744,100,96,96,0.4994,0.4949,0.5822,0.5700,-6.7531,-6.6875,-7.2383,-6.9600
0.1,-50.0,0.1800,0.8853,0.9900,0.9600,0.9600,0.4401,0.2841,0.2832,0.3692,0.5011,0.3600,0.4677,0.3848,0.0727,0.2917,0.0860,99,96,96,0.5384,0.5658,0.5724,0.5700,-6.8393,-6.4575,-7.3929,-7.0460
0.1,-100.0,0.2100,0.8891,1.0000,0.9600,0.9600,0.4571,0.2808,0.2939,0.3535,0.4480,0.4516,0.4331,0.3863,0.0698,0.2973,0.0880,100,96,96,0.5096,0.5111,0.5850,0.5800,-6.8687,-6.5680,-7.4037,-7.0125
0.1,-200.0,0.2300,0.8963,0.9900,0.9800,0.9800,0.4375,0.2830,0.3231,0.3336,0.5133,0.4811,0.5081,0.4071,0.0695,0.2960,0.0932,99,98,98,0.5190,0.4708,0.5955,0.6000,-6.6332,-6.5680,-7.1159,-7.0775
0.5,0.0,0.2200,0.9024,0.9800,0.9100,0.9100,0.4431,0.3159,0.3250,0.3477,0.4292,0.3868,0.4390,0.3942,0.0743,0.3055,0.0717,98,91,91,0.5095,0.5272,0.5763,0.5800,-6.7039,-6.6690,-7.2644,-7.2440
0.5,-0.1,0.2200,0.8967,0.9800,0.9200,0.9200,0.4508,0.3089,0.3182,0.3504,0.4028,0.3626,0.4251,0.3963,0.0746,0.3085,0.0686,98,92,92,0.5069,0.5267,0.5787,0.5900,-6.6624,-6.6550,-7.2377,-7.2165
0.5,-1.0,0.1600,0.8834,0.9800,0.9100,0.9100,0.4471,0.3419,0.3337,0.3631,0.3866,0.4478,0.4363,0.4185,0.0709,0.3172,0.0750,98,91,91,0.5072,0.5137,0.5723,0.5700,-6.6574,-6.6620,-7.2591,-7.3200
0.5,-5.0,0.1700,0.8994,1.0000,0.9600,0.9600,0.4387,0.3265,0.2881,0.3458,0.4623,0.3394,0.4313,0.4038,0.0716,0.3055,0.0811,100,96,96,0.5222,0.5808,0.5835,0.5800,-6.7011,-6.5180,-7.2036,-7.0735
0.5,-10.0,0.1800,0.8876,0.9900,0.9300,0.9300,0.4513,0.3293,0.3413,0.3752,0.4710,0.3934,0.4906,0.4132,0.0771,0.3153,0.0816,99,93,93,0.5273,0.5711,0.5753,0.5700,-6.8840,-6.8600,-7.3521,-7.3900
0.5,-20.0,0.2100,0.9013,0.9900,0.9400,0.9400,0.4413,0.2943,0.2598,0.3052,0.4225,0.3042,0.4542,0.4014,0.0763,0.2931,0.0818,99,94,94,0.5294,0.5473,0.5906,0.5900,-6.6401,-6.5140,-7.1923,-7.1130
0.5,-50.0,0.2100,0.8914,0.9900,0.9500,0.9500,0.4565,0.2962,0.2784,0.3854,0.4407,0.4486,0.4540,0.4222,0.0706,0.3005,0.0831,99,95,95,0.5350,0.5277,0.5857,0.5800,-6.9278,-6.7620,-7.4587,-7.2510
0.5,-100.0,0.1400,0.8841,1.0000,0.9300,0.9300,0.4514,0.3143,0.3166,0.3690,0.4550,0.3898,0.5033,0.4149,0.0733,0.3029,0.0947,100,93,93,0.5262,0.5361,0.5822,0.5800,-6.9727,-6.9090,-7.4372,-7.3760
